title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
Engineering Lead,Crew Technology Recruitment,Join Animation Research Limited in Dunedin as an Engineering Manager. Collaborate with a talented team on innovative projects,https://www.seek.co.nz/job/77283247?type=promoted&ref=search-standalone&origin=cardTitle#sol=5ee348cffacef33ede81e0dd334abbbeae056b1e,,hein@crewconsulting.co.nz,,Dunedin Central,Otago,"$110,000 – $130,000 per year",2024-07-15,15/07/2024
Senior Delivery Manager (digital agency),Journey,We are on the hunt for an experienced Senior Delivery Manager to work on top New Zealand and international client projects.,https://www.seek.co.nz/job/77278761?type=promoted&ref=search-standalone&origin=cardTitle#sol=589aef0d06887318951de1853636ed8e04647eea,,jobs@journey-digital.com,,Dunedin Central,Otago,"Up to $90,000 base salary",2024-07-15,15/07/2024
Intermediate Systems Administrator,Find IT Recruitment,"Fast-paced, highly systems admin role in the private sector.",https://www.seek.co.nz/job/77282106?type=standout&ref=search-standalone&origin=cardTitle#sol=2585f9e38a0a8f69ccc62fcefe72d60afabca977,,adam.poulopoulos@findrecruitment.co.nz,,Dunedin Central,Otago,Negotiable package offered to the right applicant. (AUD),2024-07-15,15/07/2024
Technical Lead - Infra and Cloud Services,Department of Internal Affairs,DIA is seeking a skilled and experienced Technical Lead to join our team as a infrastructure and cloud services expert.,https://www.seek.co.nz/job/77277870?type=standout&ref=search-standalone&origin=cardTitle#sol=ada148a0e444037fb8ba99e4a358c488c081a9c9,,dowda@dia.govt.nz,,Dunedin Central,Otago,,2024-07-15,15/07/2024
Senior Delivery Manager (digital agency),Journey,We are on the hunt for an experienced Senior Delivery Manager to work on top New Zealand and international client projects.,https://www.seek.co.nz/job/77278761?type=standout&ref=search-standalone&origin=cardTitle#sol=6017ca4f60deebcf40f5c22277a6b82de4b3833e,,jobs@journey-digital.com,,Dunedin Central,Otago,,2024-07-15,15/07/2024
Engineering Lead,Crew Technology Recruitment,Join Animation Research Limited in Dunedin as an Engineering Manager. Collaborate with a talented team on innovative projects,https://www.seek.co.nz/job/77283247?type=standout&ref=search-standalone&origin=cardTitle#sol=d805538fe55a3b83f8fb21be64148ec512bbe2e5,,hein@crewconsulting.co.nz,,Dunedin Central,Otago,,2024-07-15,15/07/2024
Cloud Solution Architect,Absolute IT Limited,Develop functional design specifications and Azure reference architectures to provide tailored cloud solutions.,https://www.seek.co.nz/job/77284289?type=standout&ref=search-standalone&origin=cardTitle#sol=55fe1225ffb936e740db56152f21e023a5f812de,,nithya.mastry@absoluteit.co.nz,,Dunedin Central,Otago,,2024-07-15,15/07/2024
Developer,The University of Auckland,"Participate and support application development, implementation, and BAU activities. Develop software solutions that solve real business problems!",https://www.seek.co.nz/job/77284306?type=standout&ref=search-standalone&origin=cardTitle#sol=22204d8fac75208e13cadee9ed9260e5764a48f4,,rita.trivedi@auckland.ac.nz,,Dunedin Central,Otago,,2024-07-15,15/07/2024
Engineering Manager,Presto Resourcing,Superb Opportunity for a passionate Engineering Manager to take the reins of this SaaS team currently delivering software internationally,https://www.seek.co.nz/job/77282729?type=promoted&ref=search-standalone&origin=cardTitle#sol=122419c044bee9b53928588ced4fde3110a21b9e,,,0294847153,Auckland CBD,Auckland,Negotiable,2024-07-15,
Vulnerability Management Engineer,84 Recruitment,A rare opportunity to join one of NZ's most mature cyber security team!,https://www.seek.co.nz/job/77281250?type=standout&ref=search-standalone&origin=cardTitle#sol=2a9df072118fe553e12a22b19e250330f853c066,,yaman@84recruitment.co.nz,,Auckland CBD,Auckland,NZD 120000 per annum,2024-07-15,
Engineering Manager,Presto Resourcing,Superb Opportunity for a passionate Engineering Manager to take the reins of this SaaS team currently delivering software internationally,https://www.seek.co.nz/job/77282729?type=standout&ref=search-standalone&origin=cardTitle#sol=b6bdbb739c0739e51a7f8d333dbeb6116333f6b2,,,0294847153,Auckland CBD,Auckland,"$75,000 - $85,000",2024-07-15,
MS Azure Solution Architect - CONTRACT,Robert Half Technology,Engage with an innovative MSP in New Zealand. Immediate start.,https://www.seek.co.nz/job/77282694?type=standard&ref=search-standalone&origin=cardTitle#sol=ccfb4ef31b43850adcdfffe5d8fe28b338282668,,,900-0013023,Auckland CBD,Auckland,$151K-$178K + 15% STI + 5% KS + health insurance,2024-07-15,
Project Coordinator,Electoral Commission,"Responsible for coordinating projects from beginning to end, this exciting role is definitely for you if you enjoy variety in your work.",https://www.seek.co.nz/job/77280379?type=standout&ref=search-standalone&origin=cardTitle#sol=f5f924e4807809ff5e95751cd1bba526c882237c,,recruitment@elections.govt.nz,,Auckland CBD,Auckland,"$150,000 plus benefits & a culture rarely seen",2024-07-15,15/07/2024
Data Engineer,Department of Internal Affairs,We're looking for a driven and experienced Data Engineer to join our Business Intelligence & Insights team.,https://www.seek.co.nz/job/77282628?type=standout&ref=search-standalone&origin=cardTitle#sol=76c258c8afa6c9d36fc39806e044935bba7d0d22,,Hien.Nguyen@dia.govt.nz,,Auckland CBD,Auckland,,2024-07-15,15/07/2024
Audio Visual Technical Pre-Sales Consultant,Ricoh New Zealand Ltd,"Join our team as an AV Technical Pre-Sales Consultant and lead the seamless design, implementation, and support of Ricoh’s Hybrid Workplace solutions.",https://www.seek.co.nz/job/77272030?type=standout&ref=search-standalone&origin=cardTitle#sol=36a61ef9f0db2ac351b582edb4edeb211b1c8d6f,,kbellerby@ricoh.co.nz,,Auckland CBD,Auckland,,2024-07-15,15/07/2024
"Managed Services, Success and Service Delivery Manager",Sprout Group Ltd,"Seeking customer-facing leader with high EQ, strong comms & tech expertise. Lead team, collaborate across functions & deliver actionable insights!",https://www.seek.co.nz/job/77281535?type=standout&ref=search-standalone&origin=cardTitle#sol=43a9729a56a8bcdeb29fa176db28034db6e69802,,clara@sproutpeople.co,,Auckland CBD,Auckland,,2024-07-15,15/07/2024
Sr. EWM Consultant,HCL New Zealand,A job that provides perfect platform to grow yourself and your career.,https://www.seek.co.nz/job/77279650?type=standard&ref=search-standalone&origin=cardTitle#sol=8d6d3826bf55aef7607460ab02383ea5192379cd,,narmadaminubo.chand@hcltech.com,,Hamilton Central,Waikato,"$70,000 – $100,000 pa (depending on experience)",2024-07-15,15/07/2024
