title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
Junior Cyber Security Analyst,OUI Recruitment,A leading Perth-based IT & Cyber Solutions Provider is expanding its team. This is a newly created role due to their continued success.,https://www.seek.com.au/job/77286235?type=standout&ref=search-standalone&origin=cardTitle#sol=5592bdecb19b0386a6711e990c5009821ea8600e,,info@ouirecruitment.com,,Orange,Blue Mountains & Central West NSW,Attractive Remuneration & Benefits,2024-07-15,15/07/2024
IT Operations Manager - Managed Services,Cadence Talent,"The Managed Services Ops Manager drives team accountability, ensures top-tier service delivery, and manages ITIL-compliant Problem and Change Manageme",https://www.seek.com.au/job/77274260?type=standout&ref=search-standalone&origin=cardTitle#sol=536a35dc0ff283c77d4fe1420a0f587879de6c36,,Tom.Callender@cadenceconnect.com.au,,Orange,Blue Mountains & Central West NSW,Flexible working arrangements,2024-07-15,15/07/2024
Field Support Officer,Robert Half,"Provide professional services and technical support to staff, students, and volunteers at All Saints College, Maitland.",https://www.seek.com.au/job/77282556?type=standout&ref=search-standalone&origin=cardTitle#sol=091bd221ccae6c10ae3e28f7b95b449ae672b12d,,damian.wicks@mn.catholic.edu.au,,Orange,Blue Mountains & Central West NSW,,2024-07-15,15/07/2024
Service Desk Analyst,The Smith Family,Providing helpdesk support for ICT related issues and requests to keep our systems running reliably.,https://www.seek.com.au/job/77279356?type=standout&ref=search-standalone&origin=cardTitle#sol=c35dfcd77c99d52941f370e7c65053d35f0c155d,,,1720994492,Mundaring,Perth WA,$100k + super,2024-07-15,
Systems Administrator,TheDriveGroup,Join a dynamic and progressive organisation at the forefront of Defence Technology,https://www.seek.com.au/job/77284038?type=standard&ref=search-standalone&origin=cardTitle#sol=461c4eb77dc49f60c30810f99846f19e802dca63,,farid@thedrivegroup.com.au,,Mundaring,Perth WA,Highly attractive daily rate,2024-07-15,15/07/2024
IT Operations Engineer,Jackson McDonald,We are seeking a skilled and experienced IT Operations Engineer to join our dedicated team.,https://www.seek.com.au/job/77283227?type=standout&ref=search-standalone&origin=cardTitle#sol=9e4fe0975c3f883714f6f81c884ee5a838fa7d2d,,recruitment@jacmac.com.au,,Mundaring,Perth WA,AUD 180000 per annum,2024-07-15,15/07/2024
Enterprise Platform Lead,City of Gold Coast,"If you have a proven track record in platform management and a passion for driving operational excellence, this could be the job for you!",https://www.seek.com.au/job/77279440?type=standard&ref=search-standalone&origin=cardTitle#sol=bc135747212dcd3318251bc77c58ad5118607b38,,recruitment@goldcoast.qld.gov.au,,Mundaring,Perth WA,Salary + superannuation + bonus,2024-07-15,15/07/2024
Infrastructure Delivery Engineer,The Network,Play a pivotal role in the successful uplift and enhancement of the organisation's core OT/IT infrastructure.,https://www.seek.com.au/job/77274286?type=standard&ref=search-standalone&origin=cardTitle#sol=6ffff5907d435cf1986090e5cbb703dfa5430424,,kristenb@thenetworkit.com,,Mundaring,Perth WA,"$65,000 – $80,000 per year",2024-07-15,15/07/2024
Technologist - WA,ABC,"Deliver timely, cost-effective, high-quality technology support services to ABC users in WA.",https://www.seek.com.au/job/77279550?type=standout&ref=search-standalone&origin=cardTitle#sol=a18e17431fc4e3fc207896464c949f9fa8632837,,clarke.nathaniel@abc.net.au,0411368022,Mundaring,Perth WA,"Up to $130,000 base I Super I Bonuses",2024-07-15,15/07/2024
Client Services Manager,Gunners Business Solutions,"Want to be part of a fast paced, growing I.T company? Have Great Communication skills and love to be organised? Have high standards? Come on In!",https://www.seek.com.au/job/77272571?type=standard&ref=search-standalone&origin=cardTitle#sol=5fdeb78125797706419f1705cd434b5375d2bb08,,anjeen@gunners.com.au,,Mundaring,Perth WA,,2024-07-15,15/07/2024
Cybersecurity Specialist,Fosterville Gold Mine Pty Ltd,Bring your Cybersecurity experience and skills to a world leading gold mining company at Agnico Eagle Australia!,https://www.seek.com.au/job/77283378?type=promoted&ref=search-standalone&origin=cardTitle#sol=2a0d5c6fd49c391d1f71c7debe64d89c4b4211e3,,melanie.bell@agnicoeagle.com,,Parkside,Adelaide SA,up to $85k plus super,2024-07-15,15/07/2024
Infrastructure Delivery Engineer,The Network,Play a pivotal role in the successful uplift and enhancement of the organisation's core OT/IT infrastructure.,https://www.seek.com.au/job/77274286?type=standard&ref=search-standalone&origin=cardTitle#sol=f26c0dc93ae092431cc988cfc1b92c2b17a721e6,,kristenb@thenetworkit.com,,Parkside,Adelaide SA,"$106,534 - $128,897 (+ superannuation)",2024-07-15,15/07/2024
Level 2 Engineer,TheDriveGroup,"Work with a high performing MSP that invest into their staff, such as paid certification to upskill, quarterly social events and wfh set up.",https://www.seek.com.au/job/77283543?type=standard&ref=search-standalone&origin=cardTitle#sol=856d29d0e572ea447500621e7884ba311981fc31,,natalie@thedrivegroup.com.au,,Parkside,Adelaide SA,$107-$120k+ Super,2024-07-15,15/07/2024
Enterprise Platform Lead,Ampersand,"Seeking a Enterprise Platform Lead to drive value across multiple vendors and prioritize outcomes, performance, maintenance, and efficiencies",https://www.seek.com.au/job/77287435?type=standard&ref=search-standalone&origin=cardTitle#sol=95c3adac9eeb8e708b9dc0b342c4dc5f684dc16c,,staylor@ampersand.com.au,,Parkside,Adelaide SA,Salary + superannuation + bonus,2024-07-15,15/07/2024
Desktop Support Technician,Atturra,We are looking for Desktop Engineer - level 2 to join the MS team in Perth and support our existing clients.,https://www.seek.com.au/job/77279034?type=standout&ref=search-standalone&origin=cardTitle#sol=adb0a4f55b4f913399175832439c03c768ce5f73,,talentacquisition@atturra.com,,Parkside,Adelaide SA,,2024-07-15,15/07/2024
Client Services Manager,Gunners Business Solutions,"Want to be part of a fast paced, growing I.T company? Have Great Communication skills and love to be organised? Have high standards? Come on In!",https://www.seek.com.au/job/77272571?type=standard&ref=search-standalone&origin=cardTitle#sol=7a713e2887d962881c942c2abac23b2245c535d6,,anjeen@gunners.com.au,,Parkside,Adelaide SA,,2024-07-15,15/07/2024
Deployment and Support Specialist,Engage Recruitment Support,"If you’re dynamic, caring and courageous, we want to hear from you.",https://www.seek.com.au/job/77277210?type=standout&ref=search-standalone&origin=cardTitle#sol=0f7e1b65f5d52186c6339274df2ce9eb669642f5,,martin@engagers.co.nz,,Parkside,Adelaide SA,,2024-07-15,15/07/2024
BI & Analytics Manager,THE ICONIC,Lead our BI and analytics team to drive data-driven decision-making and enhance customer experiences!,https://www.seek.com.au/job/77278059?type=promoted&ref=search-standalone&origin=cardTitle#sol=3fba37835d0bdfa1f4533d27f733dfac49d18a7a,,talent.attraction@theiconic.com.au,,Fitzroy,Melbourne VIC,Highly attractive daily rate,2024-07-15,15/07/2024
Business Analyst (Information Co-Ordinator),Victoria Police,"Support various clients across the Forensic Services Department through the development and provision of business reports, extracts and dashboards",https://www.seek.com.au/job/77283099?type=standout&ref=search-standalone&origin=cardTitle#sol=a812062828755b8d4111716de26e92b580066700,,catherine.bennett@police.vic.gov.au,,Fitzroy,Melbourne VIC,"$91,965 – $111,369 per year",2024-07-15,15/07/2024
Cybersecurity Specialist,Fosterville Gold Mine Pty Ltd,Bring your Cybersecurity experience and skills to a world leading gold mining company at Agnico Eagle Australia!,https://www.seek.com.au/job/77283378?type=standout&ref=search-standalone&origin=cardTitle#sol=90e6a8140d29551e5dc4c149dc841d1d64bba648,,melanie.bell@agnicoeagle.com,,Fitzroy,Melbourne VIC,Attractive salary package and benefits,2024-07-15,15/07/2024
