title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
IT Contract Officer,Sunshine Coast Council,Be part of an innovative and forward-thinking branch that delivers outstanding IT services to our business and community.,https://www.seek.com.au/job/77238369?type=promoted&ref=search-standalone&origin=cardTitle#sol=0fa32a678f6c77dba5bd8f8ff6c8cc75ea188dc7,,joinusnow@sunshinecoast.qld.gov.au,,Varsity Lakes,Gold Coast QLD,$103K – $107K Total Remuneration Package,2024-07-14,14/07/2024
Head of Technology & Data,SustainRecruit,"Head of Tech and Data, reporting to the CEO, responsible for driving innovation and company strategy for a market-leading financial services company",https://www.seek.com.au/job/77241620?type=standout&ref=search-standalone&origin=cardTitle#sol=43dd6e51f287fb29d48e490dcf3535093e7c1f18,,tim@sustainrecruit.com,,Varsity Lakes,Gold Coast QLD,$250k-$260k Base + Super + generous bonus,2024-07-14,14/07/2024
"IT Manager, Architecture and Cyber Security - Far North Coast",Northern NSW Local Health District,"Discover the balance. Enjoy more flexibility, diverse career pathways, the opportunity to learn and grow, salary packaging + more.",https://www.seek.com.au/job/77242700?type=standard&ref=search-standalone&origin=cardTitle#sol=dd5d2aa616f625e112915fd55d7f3243dfa33bfc,,phillip.woolley@health.nsw.gov.au,,Varsity Lakes,Gold Coast QLD,"$74,000 – $80,000 per year",2024-07-14,14/07/2024
"Associate Director, Client Services",University of the Sunshine Coast – UniSC,"Ensure a seamless technology experience for our vibrant community, empowering teams to meet the IT needs of students, staff, and visitors",https://www.seek.com.au/job/77261617?type=standout&ref=search-standalone&origin=cardTitle#sol=bf31e95ed2d78bc694068559e0adab5dbb782b62,,unisc-careers@usc.edu.au,,Varsity Lakes,Gold Coast QLD,"$70,000 – $85,000 per year",2024-07-14,14/07/2024
"Associate Director, Enterprise Services",University of the Sunshine Coast – UniSC,"Lead strategic IT initiatives, ensuring robust systems for digital innovation, seamless data integration, and optimised business applications.",https://www.seek.com.au/job/77240649?type=standout&ref=search-standalone&origin=cardTitle#sol=2b3e853fd7d7e66cdc164563d7dd17a8971b5e41,,unisc-careers@usc.edu.au,,Varsity Lakes,Gold Coast QLD,,2024-07-14,14/07/2024
Head of Technology,Kapital Consulting,"Newly refined Head of Technology role | Background in managing small tech teams | Investment & Financial Services systems & platforms knowledge",https://www.seek.com.au/job/77248575?type=standout&ref=search-standalone&origin=cardTitle#sol=d20ad8817636354619ec8125433efc5d11b166a7,,shannon.stobbs@kapital.com.au,,Varsity Lakes,Gold Coast QLD,,2024-07-14,14/07/2024
IT Contract Officer,Sunshine Coast Council,Be part of an innovative and forward-thinking branch that delivers outstanding IT services to our business and community.,https://www.seek.com.au/job/77238369?type=standout&ref=search-standalone&origin=cardTitle#sol=ac03eb86f06a33382657cecd0d1e793019461f43,,joinusnow@sunshinecoast.qld.gov.au,,Varsity Lakes,Gold Coast QLD,,2024-07-14,14/07/2024
IT Service Engineer Level 3,MicrotechDPS,We are looking for a bright and resourceful IT Service Engineer Level-3,https://www.seek.com.au/job/77231208?type=standout&ref=search-standalone&origin=cardTitle#sol=85e745b5bf60432d7f3f51d81af33f152f34e4ed,,hr@microtechdps.com.au,,Varsity Lakes,Gold Coast QLD,,2024-07-14,14/07/2024
Manager Digital Technology Services,Macedon Ranges Shire Council,This position will be responsible for the management of the Digital Technology Services department & the delivery of effective ICT Services.,https://www.seek.com.au/job/77242398?type=standout&ref=search-standalone&origin=cardTitle#sol=7ed5c76db616b966a0d44569ed50203b058f76be,,adragostevens@mrsc.vic.gov.au,,Varsity Lakes,Gold Coast QLD,,2024-07-14,14/07/2024
Level 3 IT Support Technician,Paxus,Our client is looking for a tech-savvy individual with a strong understanding of IT asset management and Mac products to join the team,https://www.seek.com.au/job/77244320?type=standard&ref=search-standalone&origin=cardTitle#sol=ae5c1079301b6bd866096009f5d8781e4212ea6a,,aeskandari@paxus.com.au,,Varsity Lakes,Gold Coast QLD,,2024-07-14,14/07/2024
Computer Network and Systems Engineer,Messenger Media and Information Technology Pty Ltd,Melbourne-based IT company in CBD is looking for a Computer Network and Systems Engineer to join their team in a full-time permanent role.,https://www.seek.com.au/job/77267970?type=standard&ref=search-standalone&origin=cardTitle#sol=2bc4cfe7fca157613b615e22fc506d969ffa8852,,jobs@messenger.com.au,,Wetherill Park,Sydney NSW,Attractive Base + super + benefits,2024-07-14,14/07/2024
IT Technician (Level 3),Advantage IT,We are seeking a passionate customer focused leader with mature IT knowledge and experience to join our dedicated team.,https://www.seek.com.au/job/77248045?type=standard&ref=search-standalone&origin=cardTitle#sol=173df7f51ec8e00890cb29cbf8e10689296723e9,,opportunity@advantageit.com.au,,Wetherill Park,Sydney NSW,"$117,806 to $129,148 per annum, plus 15.4% super",2024-07-14,14/07/2024
Web and Data Officer,City of Port Adelaide Enfield,"This is a fulltime permanent position. Connecting people to deliver services to our community. At the City of PAE, we work Better Together to deliv...",https://www.seek.com.au/job/77233556?type=standout&ref=search-standalone&origin=cardTitle#sol=41e0b8b12e381b121e6064cde3f7f69c7c91b59f,,michael.soininen@cityofpae.sa.gov.au,,Wetherill Park,Sydney NSW,Base Salary + Superannuation + Salary Packaging,2024-07-14,14/07/2024
Level 2 Service Desk Engineer,BAMITS PTY LTD,"Join a team with a fun, flexible and interesting work environment where you’ll get to support lots of different technologies.",https://www.seek.com.au/job/77239445?type=standard&ref=search-standalone&origin=cardTitle#sol=16e6f2b2293e4f583bca30533c3b8fc2b7751810,,perry.askew@bamits.com.au,,Wetherill Park,Sydney NSW,"16% super, 9-day fortnight",2024-07-14,14/07/2024
Business Systems Analyst,REDiMED,We are looking for an enthusiastic Business Systems Analyst to work with our staff and dev team to help us develop and enhance our IT solutions.,https://www.seek.com.au/job/77269534?type=standout&ref=search-standalone&origin=cardTitle#sol=1cfa514bd65bd22171bc7e4a08cf8a751bf30571,,amorris@redimed.com.au,,Wetherill Park,Sydney NSW,,2024-07-14,14/07/2024
Solutions Consultant,Australian Institute of Marine Science,Fast track AIMS digital transformation migrating legacy applications & business processes to a modern architecture using your subject matter expertise,https://www.seek.com.au/job/77242590?type=standout&ref=search-standalone&origin=cardTitle#sol=0a96d3f3bdf042b191d1205c87c84d4fba7c97f1,,d.crossman@aims.gov.au,,Wetherill Park,Sydney NSW,,2024-07-14,14/07/2024
Applications Support Analyst,City of Yarra,Provide effective ongoing support services for approved council applications from initial installation to maintenance & custom design.,https://www.seek.com.au/job/77235992?type=standout&ref=search-standalone&origin=cardTitle#sol=a985ce8a78d0b389c928db7c7b65f7ef217ef039,,saba.iqbal@yarracity.vic.gov.au,100727 1007,Wetherill Park,Sydney NSW,,2024-07-14,14/07/2024
Applications Specialist,Arriba Group,"Join an IT team that is well-respected by the business, and support healthcare professionals through innovative technology",https://www.seek.com.au/job/77254782?type=standout&ref=search-standalone&origin=cardTitle#sol=a96466c6d2f068020ca182f2dc5fe606507799f5,,omurphy@arribagroup.com.au,,Haymarket,Sydney NSW,Great Salary + VCP + Super,2024-07-14,14/07/2024
Applications Support Analyst,City of Yarra,Provide effective ongoing support services for approved council applications from initial installation to maintenance & custom design.,https://www.seek.com.au/job/77235992?type=standout&ref=search-standalone&origin=cardTitle#sol=89eb1907ad403893b950bf3505bd5e9e518c12ba,,saba.iqbal@yarracity.vic.gov.au,100727 1007,Haymarket,Sydney NSW,"$70,000 – $85,000 per year",2024-07-14,14/07/2024
IT Systems Engineer,Boyce Chartered Accountants,Join Australia's leading regional accounting firm!,https://www.seek.com.au/job/77244578?type=standout&ref=search-standalone&origin=cardTitle#sol=8b31b631ffbf6a63376c3253aa8146262724cd6a,,recruitment@boyceca.com,,Haymarket,Sydney NSW,,2024-07-14,14/07/2024
Solutions Consultant,Australian Institute of Marine Science,Fast track AIMS digital transformation migrating legacy applications & business processes to a modern architecture using your subject matter expertise,https://www.seek.com.au/job/77242590?type=standout&ref=search-standalone&origin=cardTitle#sol=91a4cb1641c3574550e9ef852d4c0f0758d20ab9,,d.crossman@aims.gov.au,,Haymarket,Sydney NSW,,2024-07-14,14/07/2024
