IT Support Engineer (L2),Inview Consulting Pty Limited,Great opportunity for experienced L2 IT Support Engineer to work in this great NFP organisation.,https://www.seek.com.au/job/77944261?type=promoted&ref=search-standalone&origin=cardTitle#sol=c27a12062db330775aecb987efd2b2dbdd8c8146,,paul@inviewconsulting.com.au,,Robina,Gold Coast QLD,"$86,908 - $93,780 p/a",2024-08-08,full-time,"Our Client operates within the Christian Schools environment and is seeking an experienced and dedicated ICT Support Engineer (level 2) to join their team.    This role is responsible for assisting their end users by providing proactive IT Support across hardware/Software, laptops, desktops, comms and to a lesser degree networking and servers.  You will work onsite for two fats growing schools in the South West Sydney region.     You will be responsible for:  Level 2 escalated support. Maintaining and supporting the school's IT environment. Receive, log and manage IT service desk requests. Install new software and systems.  Monitor performance of the network and systems to make sure they are running smoothly.  Work collaboratively with other ICT team members.     Technical skills required:  You should possess approx 3 years of experience in a similar capacity.  Strong technical knowledge of M365 suite.  Broad skills across desktops, laptops, servers, applications and systems.  Ability to work independently and self sufficiently is a must.  Someone with lots of initiative and energy required.  Strong verbal and written comms skills are a must.  Ability to pass all relevant working with children checks.  Given that our Client operates within a Christian schools setting - the successful candidate will be a person of similar faith, someone who is able to work collaboratively in a team environment and a model of technical excellence.     If this sounds like you, I'd love to hear from you. Please reach out to me at paul@inviewconsulting.com.au",Help Desk & IT Support (Information & Communication Technology),08/08/2024
Technology Officer,The Kooralbyn International School,"TKIS is a small, independent school located in Scenic. It is experiencing a period of growth and development that is creating exciting opportunities.",https://www.seek.com.au/job/77952631?type=standard&ref=search-standalone&origin=cardTitle#sol=bbe6cc8b897489f4028e0de0ad4eb27323e68c54,,hundy_1@tkis.qld.edu.au,,Robina,Gold Coast QLD,"$109,551 per year plus superannuation",2024-08-08,full-time,"Technology Officer  The Kooralbyn International School is currently seeking the services of a dedicated Technology Officer. The role of the Technology Officer will be to support the school’s technology infrastructure, maximising efficiency, confidentiality and overall security of systems and records. The successful applicant will be required to have:   Current positive notice from Working with Children Check (QLD Blue Card or willingness to obtain) First Aid Certificate (or willingness to obtain) Help Desk Support for Windows 10/11 Software & Hardware Fault/Diagnosis Network setting experience  Experience and knowledge with the following would be highly advantageous:  Configuring digital IP phones CCTV digital security cameras Basic concepts of networking and patching  Remuneration is in accordance with the ‘Educational Services (Schools) General Staff Award 2020’.  Interested persons should forward their resume and application letter to Ally Hundy by email to:  hundy_1@tkis.qld.edu.au or by post to:  TKIS 79c Ogilvie Place, Kooralbyn QLD 4285",Help Desk & IT Support (Information & Communication Technology),08/08/2024
ICT Support Officer,The Anglican Schools Corporation,We are seeking an experienced IT Support Site Leader to join our Information & Communication Technology team.,https://www.seek.com.au/job/77199370?type=standard&ref=search-standalone&origin=cardTitle#sol=f7ec23edea31336b71229cfcf90f3ecc4d68a2e9,,recruitment@tasc.nsw.edu.au,,Robina,Gold Coast QLD,,2024-08-08,full-time,"ICT Support Officer Location: Dual Site –Marsden Park Anglican College (3 days) & Leppington Anglican College (2 days)  The Anglican Schools Corporation caters for the academic, spiritual, and pastoral needs of over 17,000 students in NSW, ranging in age from four to eighteen years. Currently operating 17 independent schools, the Corporation provides high-quality education delivered in a nurturing, caring, Christian environment.  We are seeking an IT Support Officer to join our Information & Communication Technology team. Reporting to the ICT Support Team Leader and Manager. You will be the first point of contact for all ICT issues and provide 2nd and 3rd-level support to staff and students. You will support computer hardware and software systems including but not limited to laptops, desktops, tablets, telephones, printers, and classroom audio-visual. You will troubleshoot issues relating to server, storage and networking infrastructure. You will also have responsibility for maintaining systems documentation including assets and knowledge base articles, managing user accessibility, and assisting with project-based installations and configurations. Being the primary ICT contact at the college, you will be interacting daily with students, parents, teachers, support staff, college executive, vendors and the remote ICT Team. This demands exceptional levels of communication and professionalism. The highest degree of responsibility, responsiveness, ownership and coordination of problems is expected, ensuring incidents are promptly addressed through to resolution while providing timely and sufficient communication to all appropriate stakeholders.     Located at both colleges, you will be part of a warm, caring and vibrant community of passionate educators, while supported by an experienced team of IT professionals at the group office.     Applicants must possess:  Ideally, a minimum of 3 years of technical helpdesk support experience, preferably in a school setting. Flexibility and a solution focused approach A broad range of strong troubleshooting skills across desktop, server and network Christian values and faith Proficiency in articulating technical and non-technical concepts effectively to a diverse audience, including senior executives and professionals from various fields Certifications in Windows 11 with proven experience with end-user devices A deep knowledge of the Microsoft 365 suite Ability to work independently and in a team Highly motivated self-starter who demonstrates initiative, ownership, and accountability for their tasks The highest level of professionalism, shown through punctuality, attention to detail and the ability to thrive in a fast-paced environment           Responsibilities include:  Provide technical assistance and support for queries and issues related to computer systems, software, and hardware Receive, log, and manage requests for support via the IT helpdesk software Install and commission desktop/laptop systems and routine upgrades Maintain relevant systems and procedural documentation Monitor the implementation of new systems and ensure all are running satisfactorily. Communicate regularly with the ICT team Actively support the Christian mission and values of the College     Applications:  The Anglican Schools Corporation is a Child Safe Organisation, putting the interests of children and young people first. All appointments at the Anglian Schools Corporation are subject to Child Protection Legislation. Applicants who meet the above criteria should email a covering letter and CV, which will include the names and contact details of two professional referees.     General enquiries and applications can be emailed to recruitment@tasc.nsw.edu.au     If you want to discuss the role in more detail, Mr Matthew Gebran, ICT Support Manager, can be  contacted at (02) 8567 4000.   ",Help Desk & IT Support (Information & Communication Technology),08/08/2024
Director of Technology and Transformation,"Sharp & Carter Technology, Projects & Digital Brisbane",Join a leading global FMCG organization that excels in understanding consumer trends and drives food production innovation beyond industry standards.,https://www.seek.com.au/job/77944641?type=standout&ref=search-standalone&origin=cardTitle#sol=05ab394e7b9d9f48328f9f9190153a1019fcfbef,,khair@sharpandcarter.com.au,,Robina,Gold Coast QLD,,2024-08-08,full-time,"I'm thrilled to present an exceptional opportunity for a Director of Technology and Transformation with a leading global FMCG business in South Brisbane.  The Organisation:  Hilton Foods Asia Pacific is seeking a visionary Director of Technology and Transformation to join their agile and dynamic team. Reporting directly to the CEO, this pivotal role will lead the strategic direction and operational execution of their I.T. and Procurement functions. As a key member of the APAC Management Board, the Director will drive organisational change, enhance business readiness, improve efficiencies, and ensure the successful implementation of critical technology initiatives.  Key Responsibilities:  The successful candidate will develop and execute the APAC Technology annual plan in alignment with the company's vision, goals, and global technology strategy. You will lead the planning, implementation, and management of transformation initiatives across Information Technology and Procurement, leveraging emerging technologies and automation for future growth. Additionally, you will provide strategic advice on future state optimisation opportunities for technology, procurement, and commercial functions.  You will ensure the I.T. department supports business objectives with efficient, secure, and innovative technology solutions. Continuously improve security policies, procedures, and controls to protect the business from internal and external threats. Identify emerging trends and implement best practice risk management strategies and governance frameworks. Maximise operational uptime of plant and equipment by minimising breakdowns and ensuring system reliability, performance, and scalability.  In addition to the Technology function, you will also lead the Hilton Foods APAC Procurement Function, evaluating and negotiating terms and contracts with all vendors, contractors, and service providers. Develop and implement procurement strategies to enhance cost-efficiency and ensure high-quality supply chain management. Oversee supplier relationships, contract negotiations, and procurement processes to track and enhance performance outcomes.  Excellent stakeholder engagement skills are essential for this role. You will collaborate with Senior Leadership, Department Heads, and key stakeholders to ensure alignment and support for Technology initiatives and wider APAC goals.  About You/Requirements:  Relevant tertiary qualifications. Proven track record of leading large-scale transformation initiatives and driving operational excellence across IT functions. Strong analytical skills with the ability to interpret complex data and translate it into actionable business insights. Strong strategic thinking, problem-solving, and decision-making skills. Excellent communication, interpersonal, and leadership skills. Experience with budget management and financial oversight. Join Hilton Foods Asia Pacific and play a crucial role in shaping our technological and operational future. Apply now to be a part of a transformative journey! Contact Kris Hair at Sharp and Carter at khair@sharpandcarter.com.au for a confidential discussion and comprehensive candidate pack",Management (Information & Communication Technology),08/08/2024
Digital Experience Officer,Ipswich City Council,Exciting hands-on role working on projects that make a difference to the Ipswich community.,https://www.seek.com.au/job/77943510?type=standout&ref=search-standalone&origin=cardTitle#sol=202ca4ecc4b178928e216d4e27ef40e9001eb3e1,,careers@ipswich.qld.gov.au,,Robina,Gold Coast QLD,,2024-08-08,full-time,"Ipswich is a dynamic blend of rich heritage, proud communities, diverse landscapes, and a lively energy all contributing to a region full of liveability and opportunity. It is the state's fastest growing city and oldest provincial city.  Ipswich City Council contributes to our vibrant and growing region with teams operating across various industries delivering services to the community and creating our vision:  ‘Ipswich, a city of opportunity for all. Join us.'  We have a workplace culture built on our values of communication, collaboration, integrity, efficiency, and leadership. Come and join us in shaping the future of the city and its people.      About the role  As the Digital Experience Officer, you will be part of the Digital Experience Team, and responsible for the technical support of our Libraries and Customer Service systems.  Some of your key responsibilities will include:  Provide expert support and guidance on applications, management systems, and technologies used by library and customer service staff Design, enhance, and manage the online presence of library and customer services to ensure functionality, performance, and accuracy Offer insights on new technologies and industry standards, and evaluate new software for library and customer service enhancement Lead project tasks including planning, process evaluation, data analysis, testing, implementation, and documentation Analyse library and customer service data to identify trends and advise on improvements and strategies  View the position description for more details about the role.  About you  To be successful in this role you will have:  The ability to be hands-on and know how these systems interface with a functioning online library and externally focussed customer service contact centres The ability to provide expert training, data analysis and advice on the business applications in use by the Libraries and Customer Services staff and support with projects and planning Graduate or post-graduate qualifications in a relevant discipline, progress towards such a qualifications or substantial experience A Working with Children ​​​​​Check - Issue of Blue Card and Positive Notice Letter (issued by the Queensland Government) or Exemption Card A current Queensland Driver's licence  A pre-employment medical will be required for this role.  About the benefits  This is a permanent, full-time role at Level 5 with a salary commencing at $93,169 plus superannuation up to 12.5%.  Positive workplace culture: Be part of a team that values positivity, inclusivity and a supportive environment where everyone can thrive Work/Life balance: Enjoy a supportive approach to work/life balance to maintain your well-being while fulfilling your work ambitions Diversity and inclusion: Work with a diverse workforce where different ideas and perspectives lead to innovation and better decision making Learning and development: Experience ongoing learning, development and career opportunities to enhance your skills, expertise and knowledge of industry trends Health and well-being: Access to gym memberships, employee assistance program and special events supporting your physical and mental health Leave options: Annual leave with 17.5% leave loading, cultural leave and other leave options Salary packaging: Tailor a variety of salary packaging options to your needs such as financial advice, income protection  Apply now  If you share our values and are passionate about enhancing the quality of life for the Ipswich community, then this could be the role for you.  Please apply online and submit:  A cover letter of no more than 2 pages describing how your skills and experience will assist in meeting the requirements of this role A resume of no more than 4 pages including current licences/tickets/qualifications/certificates/visa that you hold  Closing date: 22 August 2024  Please direct any related questions to Alex Barnett via careers@ipswich.qld.gov.au.  Successful applicants must be eligible to work in Australia and agree to provide information for pre-employment screening which may include a criminal history check.  Ipswich City Council is an Equal Employment Opportunity employer. We are committed to building a diverse and inclusive workplace by supporting equal opportunities regardless of gender, culture, generation, sexual orientation, or disability. We promote a respectful workplace culture that is free from all forms of harassment, workplace bullying, discrimination, and violence.","Other (Information & Communication Technology)
Government - Local (Government & Defence)",08/08/2024
Principal Digital Transformation,Cassowary Coast Regional Council,Join the ICT team on the beautiful Cassowary Coast!!,https://www.seek.com.au/job/77951074?type=standout&ref=search-standalone&origin=cardTitle#sol=b86e43be8f4e5c574603857a7b351e1c4c993219,,recruitment@ccrc.qld.gov.au,,Robina,Gold Coast QLD,,2024-08-08,full-time,"Fixed Term 6 months with opportunity of extension  The Role  The Digital Transformation Officer will effectively articulate and help drive opportunities for business transformation that improves service delivery and outcomes, quantify efficiencies, and develop a business case/s that sets out the investment required to transform operations, including an implementation timeline that will be recommended for approval and adoption during 2025/2026.   This role leads across the organisation to devise actionable insights that capitalise on Council’s current technology & data sets to improve customer service and internal operations.      About You  You will have tertiary qualification in Finance, Business or related disciplines and 5 years of more of Technology One experience. You have demonstrated project delivery experience, a knowledge of change principles and possess the behaviours and skills necessary to manage and influence change.  You have experience in the collection and analysis of complex data, excellent stakeholder influence and management skills, and the ability to develop strong working relationships across all levels of the organisation.  Additionally, you have excellent time management skills, the ability to handle competing priorities and possess a ‘C’ class drivers’ licence.     Employee Benefits  Monthly Fortnightly RDO 5 weeks annual leave  15 days personal leave Flexible working arrangements Salary packaging opportunities for vehicles, rent, mortgages, electricity and gas 24/7 access to Employee Assistance Program (EAP) for you and your immediate family Corporate wardrobe / PPE provided Fitness Passport Wellness Program for you and your family Professional development A collaborative and supportive work environment Opportunity to make a meaningful impact on your local community     Our Region  Nestled between one of the seven natural wonders of the world, the Great Barrier Reef Marine Park and the World Heritage listed Wet Tropics rainforest, is the beautiful Cassowary Coast Region. Consisting of coastal and hinterland communities with 30,000 residents across the major townships of Cardwell, Mission Beach, Tully and Innisfail.     Our Council  It is an exciting time to be part of the Cassowary Coast Regional Council, our commitment to a shared set of values offers great experiences through the building of a dynamic and inclusive workplace and community culture.  Council’s 2021-2025 Corporate Plan outlines the overarching vision for the Cassowary Coast region is ‘to provide great experiences, deliver value and create a sustainable future for our community.’ - One Coast, Cassowary Coast.     Apply Now  All applications must be submitted via the Cassowary Coast Regional Council website by 7.30pm Monday 19 August 2024.  On our website, review further position information and submit your application via the Apply button for this role, ensuring you include:  Cover Letter (max 2-3 pages) and the reason you are the ‘best fit’ for this role Current Resume showcasing relevant skills, experience and qualifications Current Licences/Qualifications, relevant to this role  Shortlisted applicants may be requested to participate in a one way interview process with Spark Hire.  Successful applicants will be required to complete a drug and alcohol screen and a full medical to ensure their fitness to perform the requirements of this position.     Any Questions  If you have questions after reading the information on our website, or you are having difficulty viewing the position online, please contact us:   People & Safety,P: (07) 4030 2216 or E: recruitment@ccrc.qld.gov.au        Cassowary Coast Regional Council is strengthened by diversity and we celebrate our inclusive workplace culture that brings great value to our organisation and community as a whole. We promote and apply equality of opportunity throughout our recruitment process and encourage applications from all sectors of the community.   This includes people with a disability, Aboriginal and Torres Strait Islanders, culturally, religiously and linguistically diverse people, young people, older people, women, and people who identify as gay, lesbian, bisexual, transgender, intersex or queer.",Programme & Project Management (Information & Communication Technology),08/08/2024
IT Support Engineer (L2),Inview Consulting Pty Limited,Great opportunity for experienced L2 IT Support Engineer to work in this great NFP organisation.,https://www.seek.com.au/job/77944261?type=promoted&ref=search-standalone&origin=cardTitle#sol=85a2594d53439b394ba1ff56fcd9819983c2fb39,,paul@inviewconsulting.com.au,,Sydney NSW,Melbourne VIC,"$118,141 – $132,962 + superannuation",2024-08-08,full-time,"Our Client operates within the Christian Schools environment and is seeking an experienced and dedicated ICT Support Engineer (level 2) to join their team.    This role is responsible for assisting their end users by providing proactive IT Support across hardware/Software, laptops, desktops, comms and to a lesser degree networking and servers.  You will work onsite for two fats growing schools in the South West Sydney region.     You will be responsible for:  Level 2 escalated support. Maintaining and supporting the school's IT environment. Receive, log and manage IT service desk requests. Install new software and systems.  Monitor performance of the network and systems to make sure they are running smoothly.  Work collaboratively with other ICT team members.     Technical skills required:  You should possess approx 3 years of experience in a similar capacity.  Strong technical knowledge of M365 suite.  Broad skills across desktops, laptops, servers, applications and systems.  Ability to work independently and self sufficiently is a must.  Someone with lots of initiative and energy required.  Strong verbal and written comms skills are a must.  Ability to pass all relevant working with children checks.  Given that our Client operates within a Christian schools setting - the successful candidate will be a person of similar faith, someone who is able to work collaboratively in a team environment and a model of technical excellence.     If this sounds like you, I'd love to hear from you. Please reach out to me at paul@inviewconsulting.com.au",Help Desk & IT Support (Information & Communication Technology),
IT Support Engineer (L2),Inview Consulting Pty Limited,Great opportunity for experienced L2 IT Support Engineer to work in this great NFP organisation.,https://www.seek.com.au/job/77944261?type=standout&ref=search-standalone&origin=cardTitle#sol=269c5d5525338159101843092f56e881ce40d374,,paul@inviewconsulting.com.au,,Sydney NSW,Melbourne VIC,Subsidised health insurance + stock discounts,2024-08-08,full-time,"Our Client operates within the Christian Schools environment and is seeking an experienced and dedicated ICT Support Engineer (level 2) to join their team.    This role is responsible for assisting their end users by providing proactive IT Support across hardware/Software, laptops, desktops, comms and to a lesser degree networking and servers.  You will work onsite for two fats growing schools in the South West Sydney region.     You will be responsible for:  Level 2 escalated support. Maintaining and supporting the school's IT environment. Receive, log and manage IT service desk requests. Install new software and systems.  Monitor performance of the network and systems to make sure they are running smoothly.  Work collaboratively with other ICT team members.     Technical skills required:  You should possess approx 3 years of experience in a similar capacity.  Strong technical knowledge of M365 suite.  Broad skills across desktops, laptops, servers, applications and systems.  Ability to work independently and self sufficiently is a must.  Someone with lots of initiative and energy required.  Strong verbal and written comms skills are a must.  Ability to pass all relevant working with children checks.  Given that our Client operates within a Christian schools setting - the successful candidate will be a person of similar faith, someone who is able to work collaboratively in a team environment and a model of technical excellence.     If this sounds like you, I'd love to hear from you. Please reach out to me at paul@inviewconsulting.com.au",Help Desk & IT Support (Information & Communication Technology),
IT Support Specialist,Squadron Energy,"About Us  Squadron Energy is Australia’s leading renewable energy company that develops, operates and owns renewable energy assets in Australia.",https://www.seek.com.au/job/77950300?type=standout&ref=search-standalone&origin=cardTitle#sol=84b40e5f84033753936f5ada786fd1c152dde1e7,,careers@squadronenergy.com,,Sydney NSW,Melbourne VIC,"$90,000 – $110,000 per year",2024-08-08,full-time,"About Us    Squadron Energy is Australia’s leading renewable energy company that develops, operates and owns renewable energy assets in Australia. With proven experience and expertise across the project lifecycle, we work with local communities and our customers to lead the transition to Australia’s clean energy future.   We are 100% Australian owned and have 1.1 gigawatts (GW) of renewable energy in operation and an Australian development pipeline of 20GW.   The Role:   We are seeking a talented and highly motivated IT Support Specialist to join our team at Squadron Energy, based onsite in Sydney. This person will be responsible for a number of key functions within the IT Service Delivery function that enable the delivery of a high-quality service to end users. This is a customer facing role and the successful candidate will need to engage and motivate peers within the IT team, as well as coordinate with external service providers, to achieve and exceed service delivery expectations to the highest possible standards.  The IT Support Specialist will ensure continuity of all steady state IT services but also work on multiple concurrent projects that deliver positive outcomes for the business. Comfort working with a degree of ambiguity in a fast paced and constantly evolving environment will also be required. This role may involve travel to other office locations and sites to engage and liaise with broader Squadron Energy (SQE) teams and relevant stakeholders.  Responsibilities include:  Day-to-Day IT Operations Ensure maximum service availability of office devices and infrastructure, such as printers, videoconferencing equipment, and wireless networks. Execute Incident, Request, Change, Problem, and Escalation management processes, ensuring high levels of performance, accurate reporting, and implementing service improvement activities when required. Resolve critical incidents promptly. Execute BAU service delivery, ensuring appropriate systems, policies, and procedures are in place and followed. Participate in internal and external service review meetings covering performance, service improvements, quality, and processes. Contribute to the development and tracking of the end-user support budget, including software licensing, office technology, and end-user device costs. Project Delivery Support delivery of key technology projects such as infrastructure enhancements, network upgrades, hardware refreshes, and cybersecurity-related changes. Identify continuous improvement opportunities to increase the end-user experience, while enabling efficiency and effectiveness of the business using innovative solution design thinking. Hands-on Support Provide onsite support for end-user devices including laptops, tablets, and company/BYOD mobile devices. Provide deskside resolution for incidents and service requests that cannot be resolved remotely, ensuring prompt resolution within target SLAs. Proactively onboard new starters to ensure workstations are provisioned in a timely manner. Execute the termination process for leavers, including collection of hardware and required security treatment upon exit.   Requirements   Extensive IT Support experience, including troubleshooting and resolving complex technical issues while providing exceptional customer service. Strong vendor management and influencing skills, ideally with an established network in the IT managed service provider space. Excellent interpersonal skills, consistently demonstrated via all engagement channels; phone, chat, email and face to face, as well as a team-focused mentality with the proven ability to collaborate effectively with diverse stakeholders. Adept at problem solving with ability to communicate complex issues to diverse audiences in an easily understood and actionable manner. Ability to work in a flexible, fast moving and dynamic environment with some level of ambiguity, and confidence to clarify business needs and identify opportunities for value creation. Ability to manage competing priorities and deliver multiple projects simultaneously. Demonstrated technical expertise in providing best-in-class desktop and office technology environments, with a solid understanding of: Windows 10/11 desktop and Windows Server environments Microsoft 365 suite (including SharePoint, Teams, OneDrive) Entra Active Directory administration Intune administration, including application packaging Exchange online LAN infrastructure, including internet connectivity, firewalls/routers, switches, wireless access points, etc. Workstation technology, including multiple monitors, laptop docking stations Meeting room AV technology Secure printing technology   Benefits    What’s on Offer:  In addition to a competitive remuneration package combined with attractive benefits, employees have the opportunity to access training and career development, and workplace flexibility. Squadron Energy also recognises the importance of diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. Visit www.squadronenergy.com to learn more about us.  Driving a diverse, inclusive and respectful culture:  We’re committed to safe, healthy and respectful workplaces. A place where everyone matters always. We welcome and celebrate the differences and similarities among people including gender, identity, ethnicity, race, heritage, sexual orientation, disability, age, culture, religion, language, appearance, parental status and education. We believe diverse experiences and perspectives not only make us more innovative, productive and engaged, but are crucial to our success. If you require assistance to apply for this job because of disability or special needs, please contact us careers@squadronenergy.com. No other requests will be acknowledged.  Please monitor your email regarding communication on progress of your application. Only successful applicants will be contacted. Aboriginal and Torres Strait Islander people are encouraged to apply.  Appointment to this position will be subject to reference checks, a National Police Check and other applicable background screening if required.",Help Desk & IT Support (Information & Communication Technology),08/08/2024
IT Development Manager,Access Telehealth,The IT Development Manager works with the dev team & stakeholders to create new features and updates for our cloud-based and mobile apps.,https://www.seek.com.au/job/77946021?type=standout&ref=search-standalone&origin=cardTitle#sol=6142a4e5c20b6c5b2c26996d6bd6ae313a780a98,,recruitment@accesstelehealth.com.au,,Sydney NSW,Melbourne VIC,,2024-08-08,full-time,"About us  Access Telehealth was built by medical professionals to achieve one goal – connecting people to healthcare.  We are a leading provider in the health sector. With strong investment in research and development, our company has seen excellent growth in recent years.  Through our growing network of clinicians across General Practice, Allied Health, Nursing, and Specialists we deliver improved health outcomes to:  Rural and Remote Australians Indigenous Communities Aged Care Residents and NDIS Participants  Our community of dedicated healthcare professionals delivers collaborative and specialist healthcare across a range of specialties. To find out more, go to: https://accesstelehealth.com.au/  About the role:  Reporting to the Group CTO, the IT Development Manager will work closely with the development team and key internal stakeholders to create new features and updates in our growing list of cloud-based software and mobile applications.  What you will be doing: Gather and confirm requirements for Jira task creation Manage Jira sprints Facilitate the Developer standup meetings Update key stakeholders with project progress Assemble stakeholder signoff for project and feature releases Educate stakeholders on how to write effective user stories What we need from you: Experience working with Jira cloud software Experience with developing and deploying apps Ability to push back on requests that do not align with our business strategy Experience writing concise and effective user stories Excellent communication skills, both written and verbal Excellent organisational and time management skills Ability to work independently, with limited supervision Ability to maintain thoroughness and accuracy with high attention to detail Courteous, with high levels of professionalism, confidentiality, and discretion Positive and collaborative team player working in line with our Purpose and Values  Backend:  C# (.NET 6.0) PostgreSQL GraphQL EF Core - database management as an ORM nodeJS  Frontend:  React (NextJS) Other: • CI/CD GitHub Docker Google Clou  At Access Telehealth we foster a dynamic and inclusive work environment where your skills and contributions will directly impact our technological advancements. Join us in delivering innovative solutions and shaping the future of digital healthcare  How to Apply  If you are a proactive and enthusiastic individual looking to contribute to a dynamic healthcare company, we invite you to apply for this exciting opportunity. Join us at Access Telehealth and make a difference in people's lives.  For further inquiries about the role, feel free to reach out to our Talent team at Access Telehealth via recruitment@accesstelehealth.com.au.  Access Telehealth is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",Management (Information & Communication Technology),08/08/2024
